dept,rev
2,"a general warning about verizon phones. the coverage is good but the customer service is the terrible. if you choose to do business with verizon get everything in writing and keep good records because they lie and cant find records until you find them and suddenly they magically appear in their records. this has happened to me several times.
"
2,"i have a motto to live by reduce reuse repair recycle. since most americans get a new cellphone every six months to a year, the carrier(it starts with a v} sells you a phone with a battery that will last you two years tops. after two years they stop carrying replacement batteries so they can force you(their loyal customer) to buy another crumby phone that costs the carrier maybe $50 bucks tops so that they can lock you into another contract with a termination fee for the full msrp; lets say 200 dollars. this act of forcing one to buy a new phone every one to two years is fueling a war in central africa where rare metals like coltan and germanium are mined. in 2010 a billion new cellphones will be manufactured with over 200 million of those destined for the usa. if you would like to help end wars for resources buy a replacement battery, keep using that old cellphone, and demand that your carrier give you a discount for preventing bloodshed. i would like to thank this battery manufacture for saving the life of a nameless/faceless child soldier.
"
1,"i think i should have ordered a size smaller. i wore this anyway since it is the first time i've tried to wear something like this. however, i wear this using the second set of hooks. i think i would have gotten more use out of a smaller size, using the first hooks, then the second. that's okay. i'll be ordering a smaller size from this seller soon.it's comfortable and undetectable under clothes.the product arrived on time and was packaged nicely.
"
2,"i didn't even have it a month before the material on the inside came apart. i hardly used it.
"
2,"although it works well for a phone holster, and i still use it today, mine broke just a few months after purchase. poor quality, but it gets the job done.
"
3,"this mug warmer does not keep coffee at the temperature it was when i put the ceramic cup on the warmer. it keeps it warm, yes, but not hot. i still have to reheat it if i leave it for any length of time.it might be fine if you're drinking warm milk, but if you like hot coffee, i think you'll be disappointed -- as i am.the lack of auto shut-off is a problem, but i knew that when i bought it, so i just have to be vigilant about turning it off when i leave my desk.
"
2,"i want to buy this product, but i want it in black.....why should i allow you to choose the color when i'm paying.
"
2,"i bought two sets of these. they're priced at $9.50. but, when they arrived, the price tag still stuck on the item says $2.99. nice way to hide your ""shippign cost"" ($6.51) from your customers! this company goes on my ""never again"" list!
"
1,"the picture and description is of a shirt, what was sent was a sleeveless tank-top, open at the arm pits. don't order this if you expect a shirt or plan to use it for submission grappling.
"
2,"after reading all of the reviews for the fm transmitters i decided i would go the cassette adapter way. it worked for about 2 songs then the player kept spitting it out. one of the reasons that i bought it was the power adapter that came with it. maybe someone will get smart and make one of these things that actually works!!!
"
3,"i would assume whoever packages these items, looks at them -- this should be a round pan -- not a dented pan. the box was not damaged, airpacks around the pan. pan has a serious dent -- not a minor dent. watch what you buy
"
2,"this was the second treo 600 that i got from amazon.com three weeks later some fonctions on the keyboard stop working. when i contacted palm they told the warranty does not cover keyboard failure then i called t-mobile who advised me to backup the data and do a hard reset. still didn't work. i called back on satuday 02/04/2006, palm told me that i have to send them the unit for repaire or pay $25 to get a ""premium exchange option"" and that i would get the unit in 2 to 3 business day. i called back on the following wednesday palm said to wait untill friday.called on friday they said that it could be shipped on monday. i asked to be refunded my $25 because they lied on the terms, the operator said that she could not.
"
2,"i really like these. i like that there are 3 different sizes for each ear. i use the small ones and my husband uses the large ones. it was like they were made just for my ears. i would recommend these even for headphone, not just bluetooth headsets.
"
2,"do not buy this phone unless you're willing to endure continuous calls from verizon wireless if you try to close your account.last week, shortly after telling verizon's sales person i was switching to t-mobile because their customer service is a disaster, i began getting three to five calls each day that hang up as soon as i answer. doing a *69 revealed they were coming from 1-800-470-0768, verizon wireless' number. calling a supervisor (jasen) resulted in an apology and him putting me on their do not call list, which he says won't take effect for 30 days. he also said this is a ""known problem with verizon's auto-dialer"" for which verizon has no solution. it's only noon and so far today i've gotten three calls from them, two hangups and another sales pitch to upgrade my phones and stay with verizon wireless.i'd rather stick needles in my eyes.
"
2,"bought a cell phone battery that, of course, died one week past their return/refund deadline. refused to refund or replace even though the product is clearly defective. this company is a ripoff and will never do business with them again. consider yourself warned.
"
2,"this phone is consistent with the quality of phones i've received from cingular. it's a piece of crap! i too, get no reception in my own house, and it holds a call like greased hands hold a greased ball of grease that was soaked with grease with a grease soaker. it is the worst of the worst. the speaker is crap, of you shift it at all from your ear hole... sorry for the technical lingo... but if you do that, you won't hear anything. it won't charge unless the phone is turned off, and the battery lasts for about two hours of talk time, and about a day of powered on time. the most irritating part is the battery, but the dropped calls is a close second. i swear you can have five bars, but as soon as you push the call button, it will drop to two... do not cheap out and get this phone! upgrade!
"
2,"i'm writing a review for the first time because i've never been so dissapointed with a shopping experience. i bought cell phone cases from world of bags so that i could give them as christmas gifts. i ordered them on december 5th. it took them until december 19th to confirm that they were being shipped! it was as if they were waiting for the last minute to ship me my items. [amazon has a two week policy for shipment of products.] needless to say, i did not get to give them away as christmas gifts. this is the type of service i got for choosing standard shipping -which was very expensive to send two little cell phone cases(i can't specify how much because they won't let me post prices in reviews)! they also shipped them seperately. a sign of inefficiecy, indeed. one came in an appropriately sized bubble envelope and the other in a huge box. i've decided to not return the items because i want to cut my losses now and just never order from them again.
"
1,"i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.
"
1,"i did not get the slack that had the waistband. i got slack with no waistband, so i send them back an was trying to ge a 42 29 but i received a e mail stateting that the product was no longer avability. so far i'am not sure were my refund went. please let me know.tom atkinson
"
2,"i liked mine at first but it didn't hold up. i've had mine about a month and it's falling apart. it's too bad because i really liked it.as far as the comments from others regarding the phone freezing on when it's open it's the 2 bottons (contacts and message). i found that if you trim the plastic around those bottons that fixes that issue.
"
1,"dockers are dockers, so that's not the problem. just be sure you don't trust the images if you choose to buy these via amazon. ""cafe,"" for example, should be ""coffee."" despite the fact that the image for ""cafe"" shows a stone or very light gray color, ""cafe"" is actually dark brown. so the product isn't defective, but is misleading: i didn't want brown pants, but that's what i got.
"
1,"i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.
"
1,"i did not like the texture/material. the fitting was also loose for me. having used eddie bauer cotton shirts, these shirts were disappointment.
"
2,"if you want to spend $53 for one tiny trash can then this is the deal for you. this product should have been sold as a 6 pack but unfortunately someone messed up when they entered this product for sale. both amazon and geroy's deny responsibility for the error and to date nothing has been changed. it was really disappointing to get this in the mail & then have to turn around and return it. also, you can't return this product without talking with someone at the amazon call center. this purchase was a huge waste of time and i'm disappointed that it's still available.
"
3,"while i agree this pan is good looking, it's not good cooking! takes a long time to heat up and bottom does not heat evenly. if i'd known farberware had changed their ""classic"" pan, i wouldn't have bought it. my advice--look for another brand.
"
2,"we purchased six of these heaters in february 2006, and by november 2006 only one was still working. one was doa, two died within one week of arrival, and the other two died over the next seven months. we live in southern california so these heaters were rarely used so its not like they wore out. repeated calls to delonghi customer service went unanswered, and the local service company they refer to in their service manual is no longer in business. we are very disappointed with the heaters and delonghi and would not buy one from them again.
"
2,"i bought this phone about fifteen months ago and was initially very pleased. lots of features, really cool sounding stereo sound from the stereo speakers. but.... i use my cell phone average 1500 minutes a month. the slide does not hold up. the phone sections separated on one side, i got a sim card failure message on the phone screen and the off button would not turn the phone off. removed the battery and it is now dead on my desk, will not turn on with battery reinstalled. $300 for fifteen months is a little pricey.
"
2,"when i first received this case i was impressed with how clear it was and how sleek. it did not take any beauty away from the phone itself. however, the clip is way too big and bulky - an inch thick and does not hold well at all. for being so big, one would think it would have to be strong as well, but that is not the case with this clip. the second day i had the case, it cracked in the center where the thin piece of plastic is located between the screen and trackball - and this happened from me putting my pearl in my center console on its side. then, a couple of days later it cracked again and then the middle piece broke off alltogether. the case protected the phone, since the phone did not get damaged or scratched, but the case itself needs a protector to keep it intact. so, the one star is for the good looking nature of this case but not the protection or lack thereof.
"
1,"this is the first time i've had anything negative to say about under armour,and my complain is not really about the product, but the company, as the 2 shirts i ordered was to be short sleeved, and they arrived as sleeveless,it was a birthday gift to my grandson, and he assured me it was ok. i went along with him, but when i received this letter asking if i would rate the transaction, i had to tell you.i will think twice before i order again, this was a plain and simple order, and you messed it up.if i had had time i would have returned them for the right kind, but they were delivered on the birthday so i gave the package to him as it arrived,ibg1105
"
2,"good news = the bluetooth works, had not problem synching to my blackberry.bad news = horrible clarity, if there is any sort of road noise the person on the other end cannot hear you! (whats the point of hands free?!?!) you never know when the bluetooth is low on battery, and you cant turn it off..if you turn it on it runs for a long time. sometimes when you already have it on your year and you want to end a call it will not end the call. when you want to make a call it goes to ""voice command"" instead of just regular dial which can be annoying because your phone cant hear you on the bluetooth. the sound gets very garbled if you are more than a foot away from your phone (again whats the point) i have heard bad things about all bluetooth headsets so this is just like all the others, but its a good price so if you really need one get it anyway (rather pay less then more for a crapy product in general)
"
2,"i would like to buy two or more shells, do you offer differents colors to choose from? wich colors are there? this is because i would like to pay only one shipping fee. please answere asap.
"
3,"i searched amazon for ""shower curtain rod, nickel"" and this product is returned in the results. from the image, it looks just like other shower curtain rods sold on amazon; however, this rod is only about 1/2 inch in diameter and will not work as a shower curtain rod. don't be fooled like i was.
"
2,"i've been wearing the waist clincher for the last two years. i purchased a new one recently and it's not the same type of material of the previous ones i've brought. i thought maybe because i had lost weight, so i brought a smaller sizer, but that one didn't fit the same either. i thought i found a miracle when i first purchased the girldle through amazon, but i have found my recent purchase has surely let me down...
"
2,"the product is absolute crap. the usb cable is faulty and does not properly fit into the keyboard or the computer jack. once i managed to get both ends to insert (with great care and effort) did the keyboard charge? nope. also the pairing button didn't work.avoid avoid avoid. do not buy this product.
"
2,"the sizes run really small, it flips up even though, they said it would not and the hooks don't hold. i am very dissapointed.
"
1,"i purchased one of these shirts from sport check and paid $30 for it. it was comfortable and i had no problems with it until 1 day i noticed some white flakes on the front of it. when i tried to wipe them off i saw that it was the material that was flaking off in a perfect circle. the more i brushed the bigger the hole grew. now you can see through the center of my shirt like some nylon stockings, which looks pretty girly. for a $30 shirt i sure expected to get a lot more wear out of it.
"
3,"i agree this is a solid cookware. but it is so hot on the handles everytime i try to remove it from the stove. i believe they can do something about the design of the handles. btw, my hands are not so sensitive to heat normally. but this is super hot beyond my tolerance.
"
2,"i was unable to return the item because of restrictions imposed by their return policyi made a mistake by buying it
"
2,"this is a nice holder but it does break if your not careful. i just ordered my 3rd one because they seem to break easy when getting into my truck, this could be avoided if you swivel the phone before you enter a car seat. this is not a faulty design just the end user being lazy and not being careful getting in and out of a vehicle.
"
1,"shirts of average quality...worth about what i paid for them, $10.00.....built in collar stays...
"
1,"i bought these shirts for $6 each thinking that i've got a bargain, but once i received them was disappointed in my purchase. as previous reviewers mentioned, the material is flimsy, 60% cotton - 40% polyester (and feel like the latter), the fit is improper and finish poor. am wearing one of the shirts now, and it wears uncomfortably (feels like a poorly made medical scrub) and looks just as cheap (yes, even the french blue color). will either send these back or they will end up collecting dust in my closet.
"
2,"pros: fits firmly in either ear. looks good. holds charge for a long time.cons: amplifies surrounding noise (even air flow from vents)! slow to connect when answering a call. connection with handset fades in and out on any call at anytime in any location.i would never recommend this product to anyone. 2-stars.
"
2,"this is the worst thing ever made! when you get the case, it looks nice and all, but here's the catch: it won't fit! you can jam it and pull it all you want but it won't work. the only thing that does work is cutting the case with some scissors. this is horrible, selling a case that doesn't fit the phone.
"
2,"this is a great product and it was a great price, however it does not work with mp3 player on the samsung blast phone. otherwise it seems to be ok. too bad the product description does not mention it will not work with mp3 players. i think thats poor technical writting.
"
2,"antonline sent a lenmar battery were the case was barley held together by scotch tape on both ends once i open the package. the box was smashed but packaging was not. emailed right away as instructed and waited for rma or contact back. no response. tried again plus tried calling but still no response so then i emailed amazon. amazon gave me a full refund after their investigation of the problem. thank you amazon.
"
2,"this is the absolute worst cellphone i have ever owned! i think that this phone is poorly made. every friend that i have that owns this phone all have the same problems. after less than a month the screen started blanking out and the &quot;flip&quot; has &quot;flopped&quot;! not to mention the camera sucks! i thought that i just got a bad model and i planned to return it, until i was told by more than a few friends that they all had similar problems. i'm switching to the nokia 3650. let's see how that goes...
"
2,"i purchased this product and it was great for about a month. the other day i was getting out of my car and the clip broke off from my belt. the phone fell into the street and was destroyed by oncoming traffic. i'm out a $400.00 phone because of the cheap plastic used in this product. if your looking for durability look elsewhere.
"
1,"i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.
"
1,"if you are looking for bill blass quality (go and check it out in a store), then keep away from this.on the other hand, if you are looking for a cheap shirt, then this is the real thing.
"
2,"good:the unit produces good (maybe even above average) sound for most lay people. pairing with the analog adapter was easy; and, pairing with laptop, desktop, and cell phone were very straightforward.bad:the design of the headset unit is rather small. the (muted silvery) parts of the headset that connect the top part to the ear ""cups"" (speakers) are very cheap. the top (black) part is rather stiff.ugly:if you have a wide or big head, you will need to spread the headset a lot everytime you put it on. when you do that, the muted silvery part will break sooner than later. it will break either around the area where it connects to the top (black) part or the other side where it connects to the ear ""cup"" units.bottom line:if you have small head, this is most likely be a very good bluetooth stereo headsets for you. otherwise, be very careful when putting them on your head and expect them to break.
"
3,"only keeps coffee tepid at best. actual element gets very hot; it just doesn't reach the coffee. item is small enough to stay on the table. it makes an expensive coaster.
"
2,"i have been using the jabra freespeak bt250 for almost a year now. it is pretty good. the only issue i have with it is sometimes it does not speak well to my cell phone if my phone is in my shirt pocket (left side) and the jabra is on the right ear.recently, i lost the ear piece so i purchased the motorola hs810 to try it out as the cingular store guy recommended it. i tried using the motorola hs810 for about one week and found everyone telling me my calls were full of static and that they could not hear me.so i ordered another jabra bt250 and am again very happy! wish i could return the motorola ...michael zyda
"
2,"i bought this product in may 2011 from another vendor (sleep warehouse) based on a lower price. so i can't comment on best beds as a merchant. but what i have to say about the sensus 5 pound/3"" deep queen-sized mattress topper is worth considering, regardless of where you might buy it.1. i bought the sensus to help with ""pressure points"" discomfort from side-sleeping on a very good, firm mattress. to my surprise, the foam topper, while helpful, did not eliminate the pressure point problem. i naively assumed that putting a soft layer on top of a firm mattress would improve my sleeping experience, but unfortunately it did not completely address pain in shoulders/hips from side sleeping.2. the product caused other problems i did not anticipate. within a few days of starting to use the sensus, i began having aches in my lower and middle back. before using sensus, i had never experienced routine lower and mid back problems from my sleeping arrangements. as you consider whether to buy sensus, think about whether it could actually cause pain in parts of your body that are not problematic right now. for me this was the deal breaker.3. i think sensus caused my lower/mid back problems because it is too soft. this is ironic, since many reviews rave about 5 pound density being the best and firmest choice. but it really isn't firm, which is kind of the point because the big selling point is that it will alleviate pressure point problems. 5 pound density may be ""firm"" relative to cheaper, lower density foam, but it is not truly ""firm"".so you've got this foam layer which is soft, but not ""too"" soft -- it is firm enough that you can still have pressure point issues, while being soft enough to cause lower and middle back pain. everyone is different, but if you buy sensus you're gambling that its softness level will relieve pressure points while not causing other back problems. don't assume you will achieve this optimal result.perhaps if i'd bought a 2 inch thickness the softness of the foam would have blended optimally with the firmness of my mattress to alleviate pressure point issues while not creating lower/mid-back problems. but i'll never know....4. the sensus is very fragile and very unwieldy. it is extremely easy to damage it, especially in the unpacking process. you have to pry apart the foam -- it sticks pretty tightly to itself and the prying apart process is time consuming and quite tricky.the fragility of sensus is ideal for merchants because if you want to return the product (as i do) any damage will prevent you from persuading the merchant to take it back. the 5 pound density, 3"" deep topper weighs about 50 pounds in queen size, so getting it out of the package, unpeeling it into a flat rectangle, coaxing it into a fabric encasement and then getting it atop your bed is quite a job. and then if you decide to return it, the whole process has to be gone through in reverse... and you can only return it if all of this labor proceeds with no damage taking place with the topper.i assure you that it is virtually impossible to unpack, unfold, encase, install, de-install, de-encase, re-fold and re-pack this topper without some damage occurring. therefore it is very unlikely you'll be able to return this sensus product, so do think very carefully before buying it. despite my best efforts, mine has several divots on the edges and some dirt in one spot where the packaging opened up en route to my house, so it is probably a total loss. with the cover that's $409 down the drain. i might try cragislist, or i might just send it off to a charity. or i might just chop it into little bits and landfill it. not sure yet what i'll do with this thing now that i'm done with it in just 3 weeks...5. sensus has an odor. many people write about odors emanating from various mattress toppers, and the stories are quite true. i aired my sensus out on the floor for 4 days before installing it, and even now some 3 weeks later it is still smelly. the odor is more musty than chemical -- think mildewed linens smell more than new shower curtain smell. i am unsure whether the mildewy smell is because of how the topper was warehoused before shipment or is inherent to this type of foam... for me it is not a huge issue, but for those who really dislike odors in their sleeping products it needs to be considered.6. when you see photos of a hand print in ""memory"" foam with the hand hovering over the print it has just etched in the foam, do not take those photos at face value. the photos imply the ""memory"" foam has a pronounced tendency to hold whatever form is pressed into it for an extended time period. but no....i tested this sensus topper -- stuck my hand deep in the foam, held it there for 30 seconds with consistent pressure, and then quickly withdrew my hand. it takes less than 4 seconds for any trace of my hand imprint to vanish. the photos imply something much longer, and it just ain't so. with standard high density foam you get no ""memory"" and with this expensive stuff you get a 3.5 second ""memory"". standard foam costs far, far less than this stuff, so is it worth hundreds of dollars for 3.5 seconds of ""memory""?
"
2,"i loved everything about this phone except for one minor detail...nobody could hear a word i was saying....most of my conversations consisted of "" what, what did you say....!!!!"" yikes that was awful....i believe the internal atenna is a large design problem...however, enough of a problem to return the pretty, picture taking masterpiece....
"
2,"only regret was that ship/hand. was 3 times what the product was - poor planning on my part - but i needed it. it's nice to be able to get the real mfg. products here thru amazon !
"
3,"i was very disappointed with this. it barely keeps my mug of coffee warm - barely luke warm for that matter. i don't recommend this product.
"
2,"i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear. the design might be ergonomic in theory but i could not stand having these in my ear. they seem to be made of a very thick silicone that has a slightly slippery feel to them. i was really disappointed with these. stay away if you have small ear canals.
"
1,"i had got these for my husband for christmas. nice material, however they were too tapered at the ankle and also short for him and he is average height, so we had to return it.
"
1,"i read a previous review that said hers got a run the first time she used them and i figured i'd just be more careful...mine got a run the second time i used them! unless you're desperate, don't bother. i expected better quality for the price i paid!
"
2,"i ordered these tights on dec. 17. i waited, and waited and waited. they were a christmas gift for my sister. it took a full month -- until jan. 12 -- for an email from the company. they mysteriously canceled my order. thanks, guys! guess there's always next christmas.
"
3,"it worked for me cause i was using after having a baby in the winter. on warm weather, it would be way too hot.
"
2,"i bought a new sch8500 and it's fallen out of this holster at least 4 times in the past 2 months! sure it seems to lock in quite nicely, but as soon as you nudge into something, the phone falls to the ground! my phone is now broken because of this and i'm waiting to recieve a replacement; if they'll even send me a replacement! you can bet i'll buy full leather phone protector when/if i get my new phone back. do yourself a big fat favor and get a holser that protects the entire phone. all you need to do is drop the phone just once and it's all over...!
"
2,"i had these bowls on my wedding registry and my sister in law ordered them for me. the first time they came, they were all broken and cracked. we thought it was probably during shipping that it happened so we sent away for a replacement. the second set came, and two were in tact, the other one had a crack down the side. i just let it go and continued to use them...well....4 months later, they were stained, they all had cracks in them, down the sides, on the bottom (which means that anytime i put liquid in them they leak). they are practically falling apart after 4 months of use. kitchenaid can do better than this...i was very dissappointed!
"
2,"this corset makes me sweat like a hog, i am not i'm a petite woman just looking for structure to maintain a flat stomach. theres no doubt it gave me a fantastic shape, was flawlessly discreet under my clothes but i was forced to stop wearing it, because by the end of the day it was very uncomfortable, hot and sweaty underneath. this was bad for my skin too, it made it dry and would have gotten red and irritated if i kept wearing it and for longer periods. it got to the point where it was pointless to wear because the was no breathing for my skin underneath it and i'd want to take it off immediately, so i never wore it, and just gave up and returned it. still looking for a perfect corset, this however is not it. don't waste your time.
"
2,"the battery and cover is great...the phone i put it into isn't the greatest...the battery will probably out live the phone!!!
"
2,"this cell phone is for people who want an updated phone in mobile technology, and of course to talk and call people. the features are great, and this sleek cell phone will fit almost everywhere. color screen and a voice recorder, you'll find something that you'll like!
"
2,"i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!
"
1,"i purchased one of these shirts from sport check and paid $30 for it. it was comfortable and i had no problems with it until 1 day i noticed some white flakes on the front of it. when i tried to wipe them off i saw that it was the material that was flaking off in a perfect circle. the more i brushed the bigger the hole grew. now you can see through the center of my shirt like some nylon stockings, which looks pretty girly. for a $30 shirt i sure expected to get a lot more wear out of it.
"
2,"this isn't even worth it for a basic collector. there isn't a temperature display, but the large problem here is that the temperature control switch offers no range at all. you could for example set it to highest or lowest settings and get no difference at all in actual temperature. not only that but the temperature is too cold for red wine to be properly stored. i hate to be a perfectionist here but hey, isn't that why we buy these things in the first place? i've spoken with other former owners of this hassle of a cooler and heard the same review. the best part was when i called to tell danby of the problem customer service told me the problem was an isolated problem they've never had before and that the temperature should be able to be adjusted. so i sent back and received another, then another. none of them ever got warmer (or colder) than 45 degrees and i have sent it back a final time. keep shopping around!
"
3,"absolute waste of money. what arrived was knock off crap that smelt like petrol and was slightly greasy/slippery to the touch.i left them sitting outside their packaging for a month so see if they improved but all they did was make the area smell like them.given the price and cost to return not worth the trouble to send back however i would never buy from these guys again.am fairly surprised at the comments of quality etc - suggest people go and see what the real thing looks/feels/smells! like in a retail store.
"
2,"this is a good chart with good design. but one major problem....the chart is printed on three boards. however, with the fabrics in between the boards, the measurements end up being off!!! so your child will be measured a fraciton of an inch short! i am going to try to return it. if not, then i will need to tape the boards closer together.
"
2,"like the others, i will not buy this item unless i can chose the color. of course the color matters. the company must not understand that customers like choices.
"
2,"i bought the black and the white ones of these. the black is much nicer looking. is not too bulky and allows you access to all the functions. can't beat this!
"
2,"the specs for this product state that it universally fits all jawbone headsets. it does not. it does not fit the jawbone era.
"
2,"the blackberry curve was smaller and lighter than i thought it was. the keys were too small and hard to read. i returned it! also, the first bill from at&t was around $160. glad i did not have to pay it!!!
"
1,"great shirt in most respects, but way too small. i bought the adult small for my 12-year-old son, who is 5 ft even, 115 lbs, and it is so skin-tight he could barely breathe in it. i'm exchanging it for the non-compression version.
"
3,"i am a modest coffee drinker. i drink 4 cups a day, and i require little of a coffeemaker other than an on/off button. my last perfectly servicable mr. coffee 4-cup machine bit the dust, so i replaced it with this one, because at least i could re-use the carafe.well, the internal design guys have been at the guts of this one. first, you can no longer remove, rinse and/or wipe down the internal chamber condensation from your last pot. you have to insert a papertowel into the new internal resevoir, scraping your hand on some internal parts that probably weren't meant to be messed with. they have likewise redesigned the basket, and it barely fits the standard coffee filters anymore, without crinkling and leaving grounds in your pot, and, hey, the internal water resevoir, where it has no business backwashing anyway. and god forbid you should try to make 5 cups in your 4-cup machine, for which there is plenty of room in the carafe, and in the resevoir, and which works well in many other 4-cup machines. my coffee maker lives on top of my microwave on a little shelf, by the toaster oven, because i have no counterspace for it. i have to lift it out some 10 inches, fill it up, insert the basket, and put it back on the microwave to process. i have mastered the art of moving a fully water loaded machine the little bit required. this one sloshes water everywhere. from the top of the machine? no! there's an engineered hole in the back of the reservoir to keep you from overfilling the chamber that last little bit. water fountains everywhere from the center back part of the machine. i suppose i could put a piece of duct tape over it, but who wants duct tape in their coffee. good god.i will be replacing my machine shortly, then gleefully smashing my carafes on the driveway.
"
2,"not worth the money. under normal use, wearing it on my belt :-) duh, it broke in less than a month. the plastic pin that allows you to swivel the holster is the weak link. the case itself is great, soft leather but the cheap plastic swivel design is poor. go buy a blackberry silicone skin case instead to protect the blackberry and then pick up an after market cheap holster at wal mart and you'll be much happier..
"
1,"i purchased an under armour compression tee at a local store in a size large. the shirt fit fantastic. i wanted a back up so i purchased this one online size large, different color. the shirt arrives on time, open the package and it is a large but does not even fit over my shoulders.... i contacted the vendor for an exchange. they do not do exchanges but will allow me to return the shirt. if the shirt was worn it has to be washed before returning it... no problem for i could not get the shirt on anyway so tags etc were all in place. if you pass 30 days, there is a restocking fee of 20% which i was unaware of.when i questioned the vendor why i have a large and ordered the same size it did not fit. the vendor stated that under armour has different sizing charts for different shirts. that just did not make sense. how are you to buy a product with ""floating"" sizes.so, i went online to nordstrum to find the same exact heat guard compression tee. there was a size chart that could be pulled up to check size before ordering.... only 1 chart for under armour. i did all the measurements correctly to find that i was to order a large.i know the shirt fits tight but since i already had a large that fits, and the chart from under armor at nordstrum confirmed that i had ordered the correct shirt size, the statement that there are different size charts for different under armour shirts "" just doesn't fit!"".i personally will visit a store and actually try it on to avoid the hassle and disappointment of waiting for a product that does not fit, seemingly was ordered correctly, and then had to be mailed back.
"
1,"i ordered this item for support being that i have a rather large chest. the item had much more coverage than the picture lets on and came in the size i ordered according to the tag but once i had it on i realised it was 3 sizes too small. when i returned it to the sender the refunded only half my money. this item was ordered with one more bra like it and out of my $40 order i got just over $20 back. i plan on disputing this with amazon and the seller.
"
2,"i think burton is onto something excellent here..... however, it'll probably be another year or two before its technology is perfectedfirst off - the jacket is excellent! very flexible, warm, and waterproof --- so no complaints on the jacketit is the technology that disappoints methe jacket has a neat construction --- you keep your ipod on one side of your chest and your phone on the other side, with a remote on your wrist that pretty much controls both devicesthe phone functions are neat because calls come through immediately, with the speakers in the hoodie allowing you to hear the other person calling and a mic in the front part allowing you to talk ---- the entire setup is pretty convenient and pretty solid, as people could hear me well and i could hear themhowever, the speaker could be better..... calls and music come through clear, but i wish it were much louderthe ipod functions are what really upset me though -- the ipod is slow to respond to the wrist controls functions.... in addition, sometimes the ipod functions won't work if you have the phone connected on bluetoothoverall -- the stability of the jacket's system needs to be worked out --- i'm pretty impressed with it, but wait another year for burton to fix this onepeace and love and happy buying!!!!!!muhammad ali hasan
"
2,"works fine for 3 days then breaksif you wear the phone all the time, go in and out of chairs and cars, or do anything physical this will break.
"
2,"unfortunately i have to buy a new bluetooth headset every couple of months or so because i lose them all the time. this one was no different because i lost it too, a few weeks ago, and replaced it with the samsung wep475 bluetooth headset which i like much better. quite honestly, i've had a few plantronics headsets in my time and i never really cared for any of them.
"
2,"after trying three different sizes,i still couldn't find one that fit. i first ordered a medium and it wouldn't even come close to hooking so i went up to size to xlarge which was waaay to big, my last possible option would be a large and it was still huge, wish i would have sent it back but was just tired of the whole process and kept it. the hooks are a pain as well and it is way over priced.....there is a zippered option on amazon that is much cheaper.
"
3,"when i received this, not only was it way too small for me, the first and only thing i noticed was the horrible smell that came out of the packaging! it was unbearable, sort of like a burnt rubber smell. there's no way i would recommend this to anyone. there are definitely other products on the market that do the job!!
"
2,"covers the charging port for your razr phone. so when you decide to charge your cellphone, you are forced to take whole plastic cover off first. very inconvenient.
"
2,"the product states that inches will be removed after 30 days of use and i have worn this item everyday for at least 12 hrs per day and i have not seen any kind of difference.for the price of the item, it is disappointing when it advertises and does not comply.
"
2,"the phone is neat and comes with a lot of great features, but buyer beware-the warranty is basically non-existant. we had a problem with the keyboard and called for warranty service and they said that the warranty is invalid if there is any water damage. we explained that there was no water damage, it just stopped working. they asked us to check a ""dot"" sensor on the phone. if the dot is red, the warranty is invalid. we asked how the dot could be red when the phone (2 months old) never got wet, and their rep told us that rain, sweat or being exposed to humidity or condensation! an unscientific survy of razr uses at a soccer game found 4 of 5 with the dot turned red-and hense no warranty.so bottom line is, it is a good phone, as long as you don't sweat or live in a location where it rains or gets humid.
"
1,"if you search for super saver shipping this advertisement comes up, but this product is not shipped by amazon is does not go out with the super saver shipping, and the cost of shipping is nearly 20% the cost of the pants.
"
3,"that is correct! after 2 years of light use, i noticed a pool of water on the counter around this miserable piece of garbage.why would a piece of stainless steel develop a leak? what nonsense.get something else, anything!!
"
2,"this would be great if it had boning in it. i am not sure if this os because i have a very pronounced hour glass figure, but when i put it on, the fabric slides the the waist and it has the same effect as if i had a rubber band aroun my waist, forming a bulge above and below my waist. too bad- i had hoped this would work based on reviews.
"
2,"when i first got this phone i was very excited about it, but now i am ready to bail out from t-mobile and get a different phone and plan.1) the coverage is lousy. as soon as you leave a metro area, you lose coverage. there seems to be no roaming option with t-mobile, unlike other phone companies.2) the phone is an interesting toy, but the camera is unwieldy and doesn't work very well. the pictures are dim, blurry, and the screen has poor resolution. altogether a disappointing experience.
"
2,"two loops are provided with the head set. the loops are made of hard plastic. both broke in the same place within 2 weeks. nothing is provided to put the head set in. voice recognition is very sensitive any change in tone the name is not recognised. hearing conversations is good. volume buttons are little small to use.
"
